,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
477,Galesong,ID,-5.3166,119.3661,87.82,65,95,4.5,overcast clouds
478,Balaka,MW,-14.9793,34.9558,76.28,55,52,1.45,broken clouds
479,Eregli,TR,37.5133,34.0467,45.32,80,100,1.14,overcast clouds
480,Opuwo,NA,-18.0607,13.84,66.09,25,0,6.15,clear sky
481,Humberto De Campos,BR,-2.5983,-43.4611,76.6,89,97,3.49,overcast clouds
482,Amli,IN,20.2833,73.0167,80.4,67,65,4.41,broken clouds
483,Glenwood Springs,US,39.5505,-107.3248,48.0,65,90,10.36,overcast clouds
484,Swan Hill,AU,-35.3378,143.5544,70.79,76,100,7.99,overcast clouds
485,Atar,MR,20.5169,-13.0499,78.06,37,59,6.42,broken clouds
486,Okha,RU,53.5739,142.9478,34.16,74,16,14.41,few clouds
487,Vostok,RU,46.4856,135.8833,12.31,88,100,10.31,light snow
488,Surenavan,AM,39.75,44.8,29.01,54,47,2.68,scattered clouds
489,Partizanskoye,RU,55.5006,94.39,28.9,78,100,14.45,overcast clouds
490,Abis,PH,9.7173,122.9438,84.4,74,99,13.49,overcast clouds
491,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,83,0,5.01,clear sky
492,Ugoofaaru,MV,5.6667,73.0,81.39,71,100,15.28,overcast clouds
493,Shelburne,CA,44.0787,-80.2041,27.27,89,33,6.85,scattered clouds
494,Adelaide,AU,-34.9333,138.6,73.47,78,75,9.22,broken clouds
495,Kasongo-Lunda,CD,-6.4667,16.8167,68.0,98,69,1.3,light rain
496,Awjilah,LY,29.1081,21.2869,66.6,31,100,5.82,overcast clouds
497,Baghdad,IQ,33.3406,44.4009,49.91,76,0,4.61,clear sky
498,Razole,IN,16.4833,81.8333,82.69,78,18,6.6,few clouds
499,Whitehorse,CA,60.7161,-135.0538,7.57,84,40,11.01,scattered clouds
500,Lompoc,US,34.6391,-120.4579,57.11,87,1,6.91,clear sky
501,Caxito,AO,-8.5785,13.6643,79.45,87,100,2.3,overcast clouds
502,Florianopolis,BR,-27.6146,-48.5012,71.62,72,40,14.97,scattered clouds
503,Ternate,ID,0.8,127.4,85.14,69,86,4.5,overcast clouds
504,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.76,80,90,16.11,overcast clouds
505,Sabinas,MX,27.85,-101.1167,62.96,59,100,12.77,overcast clouds
506,Bilibino,RU,68.0546,166.4372,-24.36,93,4,2.91,clear sky
507,Kalach-Na-Donu,RU,48.691,43.5264,27.72,85,93,8.16,overcast clouds
508,Mildura,AU,-34.2,142.15,84.07,47,40,8.05,moderate rain
509,Ust-Kulom,RU,61.6864,53.6902,14.31,94,100,7.49,overcast clouds
510,Altamira,BR,-3.2033,-52.2064,76.5,80,99,2.06,overcast clouds
511,Alugan,PH,12.2188,125.4808,81.79,85,100,12.33,moderate rain
512,Macia,MZ,-25.0269,33.0989,66.74,85,91,9.04,light rain
513,Corrente,BR,-3.7367,-43.3394,74.34,93,74,2.57,broken clouds
514,Sabzevar,IR,36.2126,57.6819,34.88,64,0,0.0,clear sky
515,Nhulunbuy,AU,-12.2333,136.7667,92.01,46,40,11.5,scattered clouds
516,Doctor Arroyo,MX,23.6667,-100.1833,56.84,77,32,7.18,scattered clouds
517,Marzuq,YE,14.4,46.4667,63.19,27,26,3.38,scattered clouds
518,Harrison,US,30.4091,-89.0436,46.47,85,1,0.0,clear sky
519,Novooleksiyivka,UA,46.2269,34.6428,32.29,60,54,7.56,broken clouds
520,Mankono,CI,8.0586,-6.1897,72.95,66,0,3.49,clear sky
521,Ubinskoye,RU,55.3068,79.6802,19.87,91,100,15.41,overcast clouds
522,Paveh,IR,35.0434,46.3565,38.03,82,0,1.57,clear sky
523,Formosa,AR,-26.1775,-58.1781,75.18,88,0,5.75,clear sky
524,San Lawrenz,MT,36.0553,14.204,53.01,68,67,8.57,broken clouds
525,Kassala,SD,15.451,36.4,71.71,69,26,6.51,scattered clouds
526,Kysyl-Syr,RU,63.8986,122.7617,-19.43,94,6,3.62,clear sky
527,Grand-Lahou,CI,5.1367,-5.0242,78.67,85,10,6.44,clear sky
528,Cayenne,GF,4.9333,-52.3333,81.09,84,20,3.0,few clouds
529,Ucluelet,CA,48.9329,-125.5528,43.09,85,46,1.01,scattered clouds
530,Oranjemund,NA,-28.55,16.4333,59.22,94,98,9.08,overcast clouds
531,Esso,RU,55.9333,158.7,27.28,96,100,5.68,overcast clouds
532,Dunedin,NZ,-45.8742,170.5036,59.45,66,100,7.65,moderate rain
533,Calabasas,US,34.1578,-118.6384,62.65,46,1,1.99,clear sky
534,Zyryanka,RU,65.75,150.85,-18.17,93,99,5.39,overcast clouds
535,Axim,GH,4.8699,-2.2405,78.19,83,15,6.15,few clouds
536,Coihaique,CL,-45.5752,-72.0662,55.35,67,90,4.61,overcast clouds
537,Maragogi,BR,-9.0122,-35.2225,78.01,80,18,9.1,few clouds
538,Salihorsk,BY,52.7876,27.5415,28.36,97,100,6.6,overcast clouds
539,Watrous,CA,51.6668,-105.4679,17.38,73,100,21.85,overcast clouds
540,Champerico,GT,14.3,-91.9167,78.35,76,8,2.06,clear sky
541,Nyurba,RU,63.2842,118.3319,-15.05,92,13,3.29,few clouds
542,Nanortalik,GL,60.1432,-45.2371,35.89,90,100,13.22,overcast clouds
543,Along,IN,28.1667,94.7667,67.77,59,61,0.67,broken clouds
544,Carballo,ES,43.213,-8.691,52.02,82,78,10.25,broken clouds
545,Takoradi,GH,4.8845,-1.7554,79.11,82,12,6.76,few clouds
546,Tazmalt,DZ,36.3868,4.3989,56.21,59,100,3.56,overcast clouds
547,Itarema,BR,-2.9248,-39.9167,80.15,80,79,13.51,broken clouds
548,Tanga,TZ,-5.0667,39.1,76.26,90,85,5.77,overcast clouds
549,Lima,PE,-12.0432,-77.0282,65.89,81,0,13.8,clear sky
550,Huarmey,PE,-10.0681,-78.1522,67.06,82,100,8.03,overcast clouds
551,Nuuk,GL,64.1835,-51.7216,34.41,100,75,57.53,light snow
552,Fort Saint James,CA,54.4333,-124.25,24.82,96,84,2.84,broken clouds
553,Guatire,VE,10.4762,-66.5427,75.7,97,69,1.25,broken clouds
554,Seoul,KR,37.5683,126.9778,47.64,53,0,8.05,clear sky
555,Wembley,AU,-31.9333,115.8,83.16,32,0,9.22,clear sky
556,Xuddur,SO,4.1213,43.8894,67.96,82,52,6.02,broken clouds
557,Antalaha,MG,-14.9003,50.2788,72.95,78,19,2.64,few clouds
558,Asfi,MA,32.2994,-9.2372,60.66,63,48,6.04,scattered clouds
559,Manaure,CO,11.7751,-72.4445,79.81,78,100,3.51,overcast clouds
560,Jinchang,CN,38.4953,102.1739,41.74,15,0,3.49,clear sky
561,Benguela,AO,-12.5763,13.4055,75.79,86,100,2.62,overcast clouds
562,Rey Bouba,CM,8.6724,14.1786,72.79,34,5,1.45,clear sky
563,Zalari,RU,53.5584,102.5065,16.72,92,50,6.31,scattered clouds
564,Noyabrsk,RU,63.1994,75.4507,6.75,95,99,8.95,overcast clouds
565,Prescott,US,34.54,-112.4685,52.9,81,90,3.0,overcast clouds
566,Laizhou,CN,37.1717,119.9214,48.22,30,0,7.2,clear sky
567,Reyes,BO,-14.3167,-67.3833,76.35,84,74,3.09,broken clouds
568,Beira,MZ,-19.8436,34.8389,78.89,89,75,3.44,light rain
569,Itupiranga,BR,-5.1347,-49.3267,75.47,85,53,3.13,broken clouds
570,Mahon,ES,39.8885,4.2658,54.16,94,75,6.91,moderate rain
571,Veinte De Noviembre,MX,14.9833,-92.25,74.89,89,7,5.79,clear sky
572,Kavaratti,IN,10.5669,72.642,80.28,81,100,11.86,overcast clouds
573,Mayya,RU,61.7333,130.2811,-15.48,89,100,1.7,overcast clouds
574,Dobryanka,RU,58.4619,56.4165,17.46,94,100,6.76,overcast clouds
575,Gilgit,PK,35.9221,74.3087,45.41,35,92,2.53,overcast clouds
576,Maracaibo,VE,10.6317,-71.6406,77.05,89,100,6.58,overcast clouds
577,Evensk,RU,61.95,159.2333,10.51,72,97,9.53,overcast clouds
578,Grand Gaube,MU,-20.0064,57.6608,78.39,73,17,8.01,few clouds
579,Marevo,RU,57.3146,32.0804,28.51,89,100,9.91,overcast clouds
580,Filadelfia,US,39.9523,-75.1638,34.99,65,1,1.01,clear sky
581,Barao De Melgaco,BR,-16.1944,-55.9675,82.92,91,100,4.0,overcast clouds
582,Naryan-Mar,RU,67.6713,53.087,14.41,96,100,8.08,overcast clouds
583,Orange Cove,US,36.6244,-119.3137,56.84,39,85,3.06,overcast clouds
584,Fergus Falls,US,46.283,-96.0776,39.27,76,1,4.61,clear sky
585,Moose Factory,CA,51.2585,-80.6094,23.0,86,90,12.66,overcast clouds
586,Lampazos De Naranjo,MX,27.0167,-100.5167,63.7,60,99,8.25,overcast clouds
587,Toktogul,KG,41.8708,72.9402,37.78,52,52,3.74,broken clouds
588,Waipawa,NZ,-41.4122,175.5153,64.02,53,4,8.16,clear sky
589,Pergamino,AR,-33.89,-60.5736,60.19,28,0,8.52,clear sky
590,Dicabisagan,PH,17.0818,122.4157,77.94,90,94,6.58,moderate rain
591,Impfondo,CG,1.6381,18.0667,70.21,89,3,2.01,clear sky
592,Manta,EC,-0.95,-80.7333,73.18,83,90,10.36,overcast clouds
593,Santa Marta,CO,11.2408,-74.199,80.65,83,75,4.61,broken clouds
594,Port-Gentil,GA,-0.7193,8.7815,78.19,81,100,5.59,light rain
595,Mpophomeni,ZA,-29.5682,30.1862,51.3,98,100,2.08,overcast clouds
596,Bras-Panon,RE,-20.9967,55.6782,80.28,67,66,0.96,broken clouds
597,Kalmunai,LK,7.4167,81.8167,80.89,79,99,8.19,overcast clouds
598,Klaeng,TH,12.7797,101.6483,83.95,70,100,9.26,overcast clouds
599,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,88,75,22.44,broken clouds
600,Sabang,ID,5.8933,95.3214,81.52,77,98,4.25,overcast clouds
601,Srednekolymsk,RU,67.45,153.6833,-14.17,93,100,0.96,overcast clouds
602,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.67,90,6,7.96,clear sky
603,Uga,NG,5.9358,7.0793,72.28,94,97,3.4,overcast clouds
604,Wagar,SD,16.1525,36.2032,70.09,71,2,8.16,clear sky
605,Saint-Paul,RE,-21.0096,55.2707,80.74,76,54,6.02,broken clouds
606,Zlobin,HR,45.2924,14.6541,35.15,67,7,9.13,clear sky
607,Fairview Heights,US,38.5889,-89.9904,44.8,57,1,9.22,clear sky
608,Pereslavl-Zalesskiy,RU,56.7393,38.8563,17.26,79,13,8.52,few clouds
609,Liverpool,GB,53.4106,-2.9779,48.15,85,90,1.01,overcast clouds
610,Nehe,CN,48.4833,124.8333,18.66,71,100,14.67,overcast clouds
611,Isla Vista,US,34.4133,-119.861,62.83,71,1,0.0,clear sky
612,Oum Hadjer,TD,13.2954,19.6966,72.0,20,100,8.57,overcast clouds
613,Merauke,ID,-8.4667,140.3333,90.55,44,30,3.91,scattered clouds
614,Inirida,CO,3.8653,-67.9239,73.58,97,89,0.72,overcast clouds
615,Tornio,FI,65.8481,24.1466,26.62,85,91,14.94,overcast clouds
616,Roald,NO,62.5833,6.1333,48.34,87,90,19.57,light intensity drizzle
617,Conakry,GN,9.538,-13.6773,77.36,80,19,10.58,few clouds
618,Bosaso,SO,11.2842,49.1816,77.05,72,100,1.23,overcast clouds
619,Alyangula,AU,-13.8483,136.4192,94.87,34,93,10.36,overcast clouds
620,Karratha,AU,-20.7377,116.8463,91.99,28,100,22.57,overcast clouds
621,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,69.37,94,98,2.26,overcast clouds
622,Berbera,SO,10.4396,45.0143,76.37,63,9,4.47,clear sky
623,Tocopilla,CL,-22.092,-70.1979,63.81,66,41,0.74,scattered clouds
624,Kurchum,KZ,48.5722,83.6542,31.71,99,100,8.41,snow
625,Sobolevo,RU,54.4299,31.8996,23.86,94,93,11.14,overcast clouds
626,Inhambane,MZ,-23.865,35.3833,71.58,83,40,10.36,scattered clouds
627,Yumen,CN,40.2833,97.2,37.36,17,0,8.63,clear sky
628,Souris,CA,49.6172,-100.2612,30.06,90,100,7.43,overcast clouds
629,Acarau,BR,-2.8856,-40.12,80.24,80,86,14.07,overcast clouds
630,Asau,RO,46.4333,26.4,38.39,89,99,0.87,overcast clouds
631,Yashan,CN,22.1975,109.9419,64.33,50,1,7.18,clear sky
632,Saint-Pierre,RE,-21.3393,55.4781,80.29,64,0,3.44,clear sky
633,Ballina,AU,-28.8667,153.5667,77.04,85,90,17.27,light rain
634,Auki,SB,-8.7676,160.7034,84.56,69,77,4.72,broken clouds
635,Chippewa Falls,US,44.9369,-91.3929,41.97,54,1,8.05,clear sky
636,Lock Haven,US,41.137,-77.4469,33.53,82,5,3.49,clear sky
637,Coahuayana,MX,18.7333,-103.6833,80.08,91,37,2.17,scattered clouds
638,Motegi,JP,36.5167,140.1833,62.06,35,13,13.71,few clouds
639,Mutoko,ZW,-17.397,32.2268,66.09,77,100,2.89,overcast clouds
640,Buraydah,SA,26.326,43.975,55.85,56,0,8.37,clear sky
641,Panna,IN,24.7167,80.2,58.51,29,23,3.24,few clouds
642,Port Hedland,AU,-20.3167,118.5667,96.85,17,97,14.97,overcast clouds
643,Vardo,NO,70.3705,31.1107,27.9,80,100,9.89,light snow
644,Mangrol,IN,21.1167,70.1167,77.83,48,59,8.93,broken clouds
645,Balkanabat,TM,39.5108,54.3671,52.3,56,0,5.75,clear sky
646,Villa Carlos Paz,AR,-31.4241,-64.4978,71.38,68,2,1.01,clear sky
647,Balakhta,RU,55.38,91.6,24.64,85,100,8.52,overcast clouds
648,Mahibadhoo,MV,3.7833,72.9667,81.66,70,99,16.46,overcast clouds
649,Brazzaville,CG,-4.2658,15.2832,75.56,88,20,6.91,light rain
650,Jvari,GE,42.7169,42.052,44.85,86,100,2.15,moderate rain
651,Corinto,GR,37.9407,22.9573,58.68,91,64,5.03,broken clouds
652,Pandamatenga,BW,-18.5278,25.627,69.51,60,61,5.12,broken clouds
653,Chiradzulu,MW,-15.6746,35.1407,71.22,61,80,1.07,broken clouds
654,Xining,CN,36.6167,101.7667,33.19,22,0,2.39,clear sky
655,Mayo,US,38.8876,-76.5119,37.96,57,1,1.99,clear sky
656,Saquarema,BR,-22.92,-42.5103,69.55,88,96,4.12,overcast clouds
657,Wilmington,US,34.2257,-77.9447,37.85,80,1,0.0,clear sky
658,Campbellton,CA,48.0075,-66.6727,28.85,79,94,11.25,overcast clouds
659,Coromandel,BR,-18.4733,-47.2003,72.23,60,96,3.11,overcast clouds
660,Waddan,LY,29.1614,16.139,66.07,50,95,6.73,overcast clouds
661,Shar,KZ,49.5886,81.0453,31.08,97,100,0.74,overcast clouds
662,Port Moresby,PG,-9.4431,147.1797,89.02,66,40,11.5,haze
663,Portland,US,45.5234,-122.6762,45.25,92,40,0.0,scattered clouds
664,Winton,US,37.3894,-120.6133,59.34,88,1,8.05,mist
665,Ouesso,CG,1.6136,16.0517,70.52,94,22,0.51,few clouds
666,San Quintin,MX,30.4833,-115.95,62.19,84,8,5.44,clear sky
667,Kaoma,ZM,-14.7833,24.8,64.47,90,100,4.03,overcast clouds
668,Kendari,ID,-3.945,122.4989,90.59,53,76,3.85,broken clouds
669,Zima,RU,53.9202,102.0442,16.18,92,66,7.61,broken clouds
670,Aberdeen,GB,57.1437,-2.0981,47.5,93,100,11.5,overcast clouds
671,Bonthe,SL,7.5264,-12.505,79.03,81,20,3.49,few clouds
672,Australind,AU,-33.2667,115.7167,75.52,39,1,8.23,clear sky
673,Cody,US,44.5263,-109.0565,39.92,50,1,4.61,clear sky
674,Brookings,US,44.3114,-96.7984,50.41,55,1,9.22,clear sky
675,Inyonga,TZ,-6.7167,32.0667,65.46,79,49,0.83,light rain
676,Samarkand,UZ,39.6542,66.9597,47.62,66,90,4.61,overcast clouds
677,Nemuro,JP,43.3236,145.575,43.23,55,57,18.79,broken clouds
678,Hovd,MN,48.0056,91.6419,29.52,51,100,6.69,overcast clouds
679,Kumasi,GH,6.6885,-1.6244,71.13,98,22,3.31,few clouds
680,Mao,ES,39.8885,4.2658,54.16,94,75,6.91,moderate rain
681,Wabana,CA,47.6332,-52.9481,44.08,97,90,33.38,light intensity drizzle
682,Esfarayen,IR,37.0765,57.5101,28.06,68,7,3.06,clear sky
683,Tazovskiy,RU,67.4667,78.7,2.3,96,93,10.33,overcast clouds
684,Progreso,MX,21.2833,-89.6667,73.51,65,0,11.27,clear sky
685,Swan River,CA,52.1058,-101.2676,21.09,86,100,14.97,overcast clouds
686,Marawi,PH,7.9986,124.2928,75.65,64,90,4.76,overcast clouds
687,Ulaanbaatar,MN,47.9077,106.8832,12.33,67,6,2.24,clear sky
688,Aykhal,RU,66.0,111.5,-11.51,93,100,8.72,overcast clouds
689,Kamennomostskiy,RU,44.2983,40.1856,35.87,100,100,2.75,overcast clouds
690,Veseloyarsk,RU,51.2836,81.1056,23.47,92,98,8.57,overcast clouds
691,Pisco,PE,-13.7,-76.2167,62.65,88,0,6.91,clear sky
692,Goure,NE,13.9835,10.2704,77.02,18,1,8.52,clear sky
693,Vagamo,NO,61.8751,9.0967,31.5,94,86,3.69,overcast clouds
694,Petauke,ZM,-14.2426,31.3253,70.66,79,77,3.42,light rain
695,Shakiso,ET,5.75,38.9167,54.09,68,22,3.38,few clouds
696,Murgab,TM,37.4966,61.9714,44.47,65,0,4.61,clear sky
697,Zhigansk,RU,66.7697,123.3711,-35.66,100,44,1.79,scattered clouds
698,Wasseiges,BE,50.6237,5.0062,42.31,89,7,2.91,clear sky
699,Priargunsk,RU,50.3691,119.1012,8.08,59,47,5.97,scattered clouds
700,Ntchisi,MW,-13.5278,33.9149,70.05,41,93,1.43,overcast clouds
701,Sinnamary,GF,5.3833,-52.95,79.05,87,88,8.97,overcast clouds
702,Izhma,RU,65.0083,53.9113,10.99,88,99,7.36,overcast clouds
703,Dire,ML,12.2833,-10.9667,72.01,32,98,2.53,overcast clouds
704,Fevik,NO,58.3794,8.6766,46.17,73,100,17.54,overcast clouds
705,Talnakh,RU,69.4865,88.3972,7.92,93,98,9.62,overcast clouds
706,Kumluca,TR,36.3703,30.2869,58.68,75,40,1.83,scattered clouds
707,Donskoye,RU,45.4552,41.9741,33.93,99,100,7.25,snow
708,Desaguadero,PE,-16.5656,-69.0417,49.78,73,91,10.8,overcast clouds
709,Chibuto,MZ,-24.6867,33.5306,68.94,79,100,9.51,overcast clouds
710,Solnechnyy,RU,50.7214,136.6319,15.17,89,78,1.79,broken clouds
711,Brockville,CA,44.5834,-75.6826,23.43,77,0,3.22,clear sky
712,Barra Do Garcas,BR,-15.89,-52.2567,73.81,92,100,0.2,overcast clouds
713,Aguada De Pasajeros,CU,22.385,-80.8508,62.74,76,15,7.09,few clouds
714,Ekibastuz,KZ,51.6667,75.3667,23.38,78,96,14.05,overcast clouds
715,Livani,LV,56.3543,26.1758,31.62,94,97,9.28,overcast clouds
716,Shellbrook,CA,53.2168,-106.4011,7.83,93,80,10.74,broken clouds
